,Activity_score,pval
JAK-STAT,6.480777740478516,9.39661681798043e-11
TNFa,2.7598893642425537,0.00578878858112053
Hypoxia,1.7657737731933594,0.07745321615058631
MAPK,1.7649319171905518,0.07759462025404118
VEGF,0.3043096661567688,0.7608960091581314
Trail,0.2726598381996155,0.7851182906107623
EGFR,0.12626232206821442,0.8995258946929632
PI3K,-0.32372012734413147,0.7461542372083811
WNT,-0.753445565700531,0.4511934927538326
Androgen,-1.0431594848632812,0.29689047375701483
NFkB,-1.0900301933288574,0.2757165502435721
p53,-1.2448433637619019,0.21320788769985688
TGFb,-1.5335721969604492,0.12515505402585458
Estrogen,-1.6601979732513428,0.09689457439055449
