,Pathways,value
1,EGFR,5.854388236999512
2,PI3K,-4.559085369110107
3,Androgen,-2.3210270404815674
4,MAPK,-2.2127268314361572
5,p53,2.0123329162597656
6,JAK-STAT,-1.9248573780059814
7,TNFa,-1.3464810848236084
8,NFkB,1.2208787202835083
9,Trail,0.9752904176712036
10,WNT,-0.9199839234352112
11,VEGF,-0.9136515855789185
12,TGFb,-0.6878774166107178
13,Hypoxia,-0.5093286037445068
14,Estrogen,-0.48732978105545044
