,TFs,value
1,E2F1,-5.545121669769287
2,E2F3,-4.833667755126953
3,PREB,4.762955188751221
4,TFAP2A,-4.757307052612305
5,JUN,-4.47501277923584
6,ING4,-4.428384304046631
7,GLIS3,4.284584999084473
8,E2F2,-4.029433727264404
9,BCL11B,4.009576797485352
10,FOXA2,-3.922147750854492
11,RELA,-3.8774654865264893
12,NR3C1,-3.755917549133301
13,NFKB,-3.693239688873291
14,STAT3,-3.65372633934021
15,FOXM1,-3.5932846069335938
16,SIN3A,3.437480926513672
17,AHR,-3.4054605960845947
18,NFAT5,-3.3575072288513184
19,SMARCA4,-3.3475890159606934
20,PML,-3.33184814453125
21,NFKB1,-3.2828586101531982
22,MYCN,-3.273747682571411
23,HNF4A,-3.2271876335144043
24,KLF15,-3.225411891937256
25,BACH1,-3.165013074874878
