gene_name,TF_Activity,TF_pvalue,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CDX2,0.5214717984199524,0.6020453836448918,351.94418,0.7154312099524857,0.16669377304057073,4.2918892343888615,1.7715932223668515e-05,0.0009808998285718556
EGR4,0.6333060264587402,0.526542894871339,94.78121,1.2917674404785502,0.3854970390211525,3.350914040114508,0.0008054530057193245,0.019392830060780658
ESRRG,-1.1762535572052002,0.23951111586469023,455.52158,-0.5936074496682718,0.14059010786251927,-4.222256165055017,2.4186899520693597e-05,0.0012703920477701292
ETV4,1.6414159536361694,0.10073080752321129,112.83921,0.658227785910789,0.22137243025791384,2.973395490775022,0.0029452468587229407,0.04904587521415173
HDAC9,0.10937046259641647,0.9129100358978354,2023.7318,0.5132498186791618,0.1306131060304095,3.9295430166071266,8.510745105818571e-05,0.00351830991072613
HEY1,0.5171950459480286,0.6050271786324308,113.45053,0.6245145623734187,0.21055884998176336,2.965985815497702,0.0030171440458437457,0.049917948469369505
HIC1,-1.2082308530807495,0.22697638244382295,182.81923,-0.5913329077422675,0.09427437415997761,-6.272467072958908,3.5537162399456707e-10,7.466211776992706e-08
HIVEP2,3.4708292484283447,0.0005202257290995052,360.109,0.8452342600673671,0.23952558672728888,3.528784843473553,0.00041747239802055424,0.012041098665541079
ISL1,-2.3371384143829346,0.01944428896200477,5466.7505,-0.5523870406377732,0.17621523630655034,-3.1347291653987335,0.0017201284068800676,0.03390952361994807
KCNIP3,-0.8152140378952026,0.41496197094649634,479.7018,-1.1401451059099472,0.1584284096322723,-7.196595033405527,6.173476589432954e-13,2.0583176185246352e-10
MYC,-1.5510720014572144,0.12090426176992385,200.94263,-0.7868819876974853,0.22370867790885632,-3.5174406064751667,0.00043572985037586417,0.01244467172293227
NFATC2,0.9337835311889648,0.3504296956784073,1029.6295,0.5165198348355299,0.1039996318293788,4.966554455528548,6.815292193937676e-07,6.41264640358418e-05
POU3F1,-0.8870077729225159,0.37508808388482073,29.918098,-0.6801550272826498,0.2189125203748282,-3.1069717991372494,0.0018901442894005346,0.03580922246807589
RXRG,-0.15514178574085236,0.8767115029702008,123.0661,-0.6532752488480801,0.20785755418122884,-3.142898757860377,0.001672836885577241,0.03327665280687178
ZFHX3,2.2332520484924316,0.025546135862654765,1028.3129,0.8659057286064452,0.210011607290802,4.123132715266685,3.737542079799634e-05,0.001808286526116309
