,TFs,value
1,FOXA2,-4.145083904266357
2,EPAS1,3.775822162628174
3,HIVEP2,3.4708292484283447
4,FEV,3.46384596824646
5,HNF4G,-3.245971202850342
6,GSC,3.2226502895355225
7,TP53,3.1766743659973145
8,PEG3,3.161505699157715
9,RELA,3.0510671138763428
10,CTBP2,2.9948785305023193
11,BRCA1,2.9882972240448
12,MECOM,-2.8533010482788086
13,NFATC3,-2.8179872035980225
14,ATF4,2.784308671951294
15,IRF4,2.654782772064209
16,FOXC2,-2.646592140197754
17,NFKB1,2.621103048324585
18,IRF5,2.6165823936462402
19,HOXC6,-2.5920817852020264
20,CIITA,2.5858230590820312
21,TCF7L2,-2.5752267837524414
22,NCOA1,2.5638248920440674
23,PGR,2.5604805946350098
24,SMAD7,-2.5596771240234375
25,ETV2,-2.5570013523101807
