,TFs,value
1,E2F1,-5.529801368713379
2,FGF2,5.070843696594238
3,HNF4A,-4.89998722076416
4,HNF1A,-4.485500335693359
5,E2F3,-4.470634460449219
6,ASCL2,-4.393531322479248
7,E2F2,-3.995905637741089
8,IRX1,-3.835031747817993
9,ZKSCAN7,-3.7770943641662598
10,MTF1,-3.745262384414673
11,CEBPB,-3.673720359802246
12,CTBP2,3.6534061431884766
13,GRHL2,-3.547238349914551
14,PITX3,-3.540994167327881
15,HINFP,-3.5219457149505615
16,PITX1,-3.518289566040039
17,FOXM1,-3.5170509815216064
18,SP3,-3.4850831031799316
19,SRY,-3.417630672454834
20,ID1,-3.4160966873168945
21,KLF4,-3.3846640586853027
22,HLF,-3.3621368408203125
23,AHR,-3.3273959159851074
24,HNF1B,-3.3022093772888184
25,KLF10,3.29632830619812
