,TFs,value
1,E2F1,-7.076244354248047
2,E2F3,-6.0813117027282715
3,E2F4,-5.703735828399658
4,E2F2,-4.91225004196167
5,HNF1A,4.860845565795898
6,TFDP1,-4.443390369415283
7,GLI2,-3.6374351978302
8,SREBF1,3.5637624263763428
9,RELA,-3.546506404876709
10,EOMES,-3.5137979984283447
11,POU4F1,-3.372959852218628
12,SIX3,3.372581720352173
13,MBD2,-3.3708784580230713
14,FEV,-3.3515543937683105
15,PPARA,3.2809808254241943
16,INSM1,3.2101166248321533
17,STAT1,-3.1975295543670654
18,HR,-3.1938562393188477
19,ARID3A,-3.10355544090271
20,EZH2,-3.05631422996521
21,ETS1,-2.980555534362793
22,NCOA3,-2.9191067218780518
23,HNF4G,2.907386064529419
24,MYBL2,-2.9053168296813965
25,ZEB1,-2.878117322921753
