gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NEUROD1,8770.665,-1.3113026132523897,0.24743751552327412,-5.299530309618906,1.1610096234365818e-07,9.622983609637823e-07
NKX6-1,11026.673,1.0357769056162043,0.22126042263947665,4.681257014969671,2.851212065841424e-06,1.876550349616836e-05
MAFA,13793.121,5.747174531985169,0.5152538596103915,11.154064010953528,6.840892208564286e-29,3.725446172064703e-27
PDX1,6344.27,0.9884459215297979,0.1621516854604839,6.095810344016933,1.0888444639312176e-09,1.1757493728276606e-08
NR3C1,4277.7534,-1.8502758608902752,0.24112958566035772,-7.673367230417238,1.675389392096969e-14,3.0340034789655195e-13
STAT3,4955.0845,0.9941365979982855,0.11780995569140353,8.438476970506377,3.2149928756173474e-17,7.393013342787758e-16
GLIS3,3532.3535,1.1798805192935529,0.17813000578742275,6.623704490873941,3.5030674148276735e-11,4.4036476627229544e-10
ASCL2,3305.8442,0.7991783223526022,0.1736934319056553,4.601085450293193,4.202949496944818e-06,2.6808242351548658e-05
MLXIP,2745.7278,1.0607864936700886,0.10790013457752211,9.831187864811735,8.263821360106907e-23,2.996628490798382e-21
AHR,1742.569,-1.4447871877819798,0.2712013861270713,-5.327359157025198,9.965099540349453e-08,8.328173216962409e-07
ZBTB17,1100.5441,1.2500640037627502,0.14502888804841116,8.61941383254262,6.729772119172974e-18,1.6295122378446922e-16
PGR,751.47516,3.1547976130867514,0.2692676052909216,11.716216697059608,1.052690189112658e-31,6.481563878679365e-30
ASCL1,465.49484,-2.7882116780958914,0.578273259140357,-4.821616137396289,1.4239977441370422e-06,9.795260360377237e-06
HNF1B,369.27682,-0.6821106148894128,0.12954737224808607,-5.265337328364762,1.3993217763059495e-07,1.1416316384843294e-06
YBX3,439.41934,0.6820224337791451,0.13164285242577028,5.180854267524462,2.2087200816908718e-07,1.7444263053563768e-06
ARID5B,285.19153,-2.481944698094601,0.47784376566862946,-5.194050600663808,2.0576717429394432e-07,1.6311076322775357e-06
E2F3,376.88947,0.6796357792918146,0.12040619711298912,5.6445249130661,1.6563799641373537e-08,1.5217108257619964e-07
E2F1,278.1409,-1.0410836746717314,0.25201223468587125,-4.131083857771523,3.6105683045237816e-05,0.0001946779857832358
IRF2,290.53442,-0.6240545661154316,0.17336889931020427,-3.599576213486986,0.0003187362076916478,0.0014158232311626935
FOXM1,208.46463,-1.1041279995138875,0.4127484747940146,-2.6750625791286358,0.007471530228083072,0.023359177925519822
MXI1,278.43222,0.604398123233305,0.10538204087102869,5.735304784740265,9.733714689936573e-09,9.234785289163095e-08
NR1D1,283.247,0.5694363952644333,0.0972829559107308,5.8534035066426435,4.816137302011494e-09,4.77341860715134e-08
MITF,288.20575,2.584480404308921,0.16264629838586106,15.890188894293285,7.410393732662403e-57,1.3632413348440532e-54
E2F2,89.5619,-1.4969068943427213,0.4323302901422622,-3.462415029606532,0.0005353509250351596,0.002255801314009883
NR1H4,85.443924,-1.276749242191568,0.4528399885333424,-2.819426893651115,0.0048109488460208235,0.015895654973198184
MEF2C,93.823944,-1.785921079722448,0.32661609894803556,-5.467951780314991,4.5526568565628177e-08,3.997487117651345e-07
WWTR1,78.46243,2.314315014271039,0.3018449054046014,7.667232319753306,1.7574728771097385e-14,3.1712294678469383e-13
REST,85.10301,2.1125387652471193,0.33964969356954994,6.219757606860715,4.979234959914607e-10,5.5803684524748766e-09
FHL2,49.334442,-2.3032349162536683,0.3470820703998497,-6.635995093610765,3.22320563203447e-11,4.0824565037145235e-10
HEYL,39.39625,1.4893372837178553,0.2863022969033351,5.201974625515156,1.971821529583011e-07,1.57048193103272e-06
