,AHR,ASCL1,E2F1,E2F2,FHL2,FOXM1,FOXO1,GLIS3,HIF1A,HLF,HMGB2,HNF1B,IRF2,IRF8,ISL1,LMO2,MXI1,NEUROD1,NFKB1,NKX6-3,NR1D1,NR2F2,NR3C1,PITX1,PPARGC1B,SOX5,SRY,THRB,TSC22D1,YBX3,ZBTB17
10,"{'BRCA1', -1.0051315392235045}","{-0.4700842992588475, 'TIMP1'}","{-1.4119124520487178, 'TP73'}","{-0.13738851816414802, 'ARNT'}",,"{'BRCA2', -1.5048100102040811}","{'PPARG', -1.5560857184531618}",,"{-0.3217236297709861, 'PIK3R1'}",,,"{'ABCC2', -0.062008686760192826}","{-0.09168067542769738, 'CREBBP'}","{-2.0791875773230344, 'FGFR1'}","{'PITX1', -0.9451495003617462}",,,"{-0.02870371236611719, 'SP3'}","{'ELF3', -1.1715098348252087}",,,"{-0.40245539035527583, 'APOB'}","{'PNMT', -1.0640454192809847}","{'JUN', -0.08547504278974608}",,,"{-0.7404495929081497, 'ACE'}","{-0.6313831586304581, 'SLC25A5'}",,,"{'ODC1', -0.01766791383421135}"
11,"{-0.6749681541417063, 'GSTM1'}","{-0.5597496676440594, 'PTPN6'}","{'CDKN2C', -0.8398618140521166}","{-0.4299542173237855, 'CHEK1'}",,"{-0.6305681905386796, 'XRCC1'}","{-0.8973245107873273, 'TIMP3'}",,"{-0.41771849301971403, 'INS'}",,,"{-0.32275017570725034, 'MAP3K14'}","{-0.4088056976388881, 'MYH9'}","{-0.8333665325691616, 'ME3'}","{'CAPS2', -0.15268400304193122}",,,"{-0.08779194675381595, 'NNAT'}","{-0.10261402068253313, 'SAMHD1'}",,,"{-1.6815465541524048, 'APOC3'}","{'CYP3A5', -1.0949329479891567}","{-0.33542633452868464, 'NKX3-1'}",,,"{'AGT', -3.5232222229026804}","{'APOA2', -1.3983237593338431}",,,"{-0.27280803536425713, 'TMEM11'}"
12,"{'SIM1', -1.469318381510766}","{-0.5888626889488663, 'NUMBL'}","{'PPARG', -1.5560857184531618}","{-0.9105459673272082, 'MCM5'}",,"{'MMP2', -1.6182426625642214}","{'NEUROD1', -1.1731149544452644}",,"{-0.4851031960754792, 'GLB1'}",,,"{-0.25918329911417815, 'SLC23A1'}","{-0.019837323354759913, 'DST'}","{-0.25766667667678567, 'MDM2'}","{'PCSK1N', -0.8350447033695192}",,,"{'SST', -2.082678886904063}","{'HLA-E', -1.6590707549132448}",,,"{-0.3253858449934215, 'PEA15'}","{-0.14426950408889636, 'NR1H3'}","{'SHROOM3', -1.0387615706558138}",,,"{-0.37841220109092877, 'CTNNB1'}","{'SQSTM1', -0.34271178428207943}",,,
13,"{-0.6110151512397909, 'NFE2L2'}","{'SCG3', -0.26313589531659526}","{-0.8945019764920371, 'CDC6'}","{'BRCA1', -1.0051315392235045}",,"{'SERPINA1', -3.00576574513048}","{'SELENOP', -2.8456882945594164}",,"{'AFP', -5.441601870762319}",,,"{'CA2', -2.6217811417443806}","{'TAP1', -1.0344936033444356}","{-0.16616019460764528, 'FANCF'}","{-0.481036480688641, 'GLS2'}",,,"{'MAP2', -1.3161972236188972}","{-0.7601185409063841, 'PDGFA'}",,,"{-0.2178541573456994, 'FGFR3'}","{-0.003166686251738443, 'TP53'}",,,,"{-0.2306717565439777, 'SGF29'}","{-1.6815465541524048, 'APOC3'}",,,
14,"{-0.3259519725741289, 'CA3'}","{'CHRNB4', -0.0007256814801014546}","{-0.452549303073021, 'PCNA'}","{'MT1G', -1.2760421700960267}",,"{'SERPINA10', -0.8055399192683792}","{-0.8665404859728478, 'TXNIP'}",,"{'PPARG', -1.5560857184531618}",,,"{-0.7490585644056873, 'IGFBP1'}","{-0.4709716056144361, 'TRIM21'}","{'GAS2', -1.955922530977941}","{'IAPP', -2.1600120424780687}",,,"{-0.9308724631732498, 'GHRL'}","{-0.8090600572758764, 'AR'}",,,"{'NRP1', -1.2609698770969822}","{-0.0004776261006761848, 'PDK4'}",,,,"{-1.0581636014302755, 'FN1'}","{'E2F1', -0.953356894778436}",,,
15,"{-0.18244948519991153, 'NRIP1'}","{-2.0239920037346084, 'IGF2'}","{'CDK1', -1.4328767212713374}","{'ASF1B', -1.5645469128355076}",,"{'ERBB2', -0.5970084091185082}","{-0.5289392983384028, 'ABCB1'}",,"{'F2', -1.8857704346492463}",,,"{'CDH1', -0.13453799437180528}","{-1.1139856284952458, 'CEACAM1'}","{-0.5092409655166327, 'GSTP1'}","{'NEUROD1', -1.1731149544452644}",,,"{-0.2308199349833978, 'NAMPT'}","{-0.31734068211465327, 'EP300'}",,,"{-0.41121480913014397, 'TNFAIP8'}","{-1.9890888762572914, 'CDKN1A'}",,,,"{'MACC1', -2.490320337087895}","{-0.6078908219830507, 'MLXIPL'}",,,
16,"{-0.7248531746645235, 'INSM1'}","{-0.5729016219432745, 'HES6'}","{-0.003166686251738443, 'TP53'}","{-0.14426950408889636, 'CDCA4'}",,"{-0.4375142937774131, 'VEGFA'}","{-0.5899406269089474, 'EGR1'}",,"{-0.3733230765316457, 'ABL1'}",,,"{-0.39130711068091706, 'FOXA3'}","{-0.3723032202127337, 'BLMH'}","{'ACOT11', -2.0684738812833117}","{-0.0853666568421663, 'NKX2-2'}",,,"{-0.7340451022267362, 'PKD2'}","{-0.22519570918077977, 'MAF'}",,,"{-0.4448844653827714, 'CCNE1'}","{'AGT', -3.5232222229026804}",,,,"{'NFAT5', -0.11378179889129965}","{-0.40334220436485774, 'SREBF1'}",,,
17,"{-0.4209072861700892, 'CAD'}","{'TH', -0.3689607708104399}","{-0.4299542173237855, 'CHEK1'}","{-1.0752394312557874, 'CDT1'}",,"{'ABCC2', -0.062008686760192826}","{-0.9822606912129589, 'FOXO1'}",,"{-0.1872379627153564, 'NAA10'}",,,"{-0.374781093289558, 'ABCB6'}","{-0.13887887811666383, 'ITGA2B'}","{-0.5503271119384563, 'BAX'}",,,,"{-0.24657930900206243, 'SCG5'}","{-0.1115567695390796, 'ISG20'}",,,"{'NRP2', -2.6384682551125205}","{'FAS', -1.3160491895186652}",,,,"{'SDC4', -2.892726466988186}","{-0.5624230283646925, 'HIF1A'}",,,
18,"{-0.11919686239252478, 'GUCY1A1'}","{-0.7248531746645235, 'INSM1'}","{'BBC3', -2.101825055130841}","{'E2F1', -0.953356894778436}",,"{-0.6804491486256437, 'PLK1'}","{-1.1626409574578687, 'BIRC5'}",,"{-0.09168067542769738, 'CREBBP'}",,,"{-0.27472991588695744, 'KIF12'}",,"{-0.4709716056144361, 'TRIM21'}",,,,"{'IGFBP2', -1.7759590655844042}","{-0.5503271119384563, 'BAX'}",,,"{-0.4375142937774131, 'VEGFA'}","{'CYP2C8', -2.5286911771269054}",,,,"{-2.0475863404202483, 'NWD1'}","{-1.0581636014302755, 'FN1'}",,,
19,"{'CDKN2B', -2.3210925693200615}","{-0.5681877376775969, 'DLL4'}","{-2.135584466911729, 'HRK'}","{-0.7631370463316455, 'FBXO5'}",,"{-0.27687763422538575, 'MAPK14'}","{-0.10179900712091305, 'HSPA5'}",,"{-0.25766667667678567, 'MDM2'}",,,"{'AFP', -5.441601870762319}",,"{-0.5561253843849122, 'HLA-B'}",,,,"{-2.772434762153168, 'SLIT2'}","{'GCA', -0.926373837602323}",,,"{-0.37841220109092877, 'CTNNB1'}","{'TDO2', -3.071282328120444}",,,,,"{-0.15857155763972683, 'LDLR'}",,,
20,"{-0.003166686251738443, 'TP53'}","{-0.7218397852507727, 'EFNA5'}","{-0.37841220109092877, 'CTNNB1'}","{-0.9822606912129589, 'FOXO1'}",,"{'TTR', -2.4248914785879667}","{-0.7228716506244118, 'NR0B2'}",,"{-0.0012107197740793187, 'APEX1'}",,,,,"{-4.240764280904529, 'TGFB2'}",,,,"{'SQSTM1', -0.34271178428207943}","{-0.09168067542769738, 'CREBBP'}",,,"{-0.6574630048591359, 'HNF1B'}","{-1.0581636014302755, 'FN1'}",,,,,"{-0.5379623156510139, 'PFKP'}",,,
21,"{-0.4375142937774131, 'VEGFA'}","{-0.4266458844316927, 'RND3'}","{-0.26188245514915903, 'SIVA1'}","{'GMNN', -1.0092130600644231}",,"{-0.4299542173237855, 'CHEK1'}","{-0.8149010856552162, 'SIRT1'}",,"{-0.1324610283495927, 'AKT1'}",,,,,"{-0.5730796558725488, 'TNFSF13B'}",,,,"{'COL1A2', -3.101032318462354}","{'SOD2', -0.13316397911285277}",,,"{-0.25766667667678567, 'MDM2'}","{-0.47540141499475647, 'MAOA'}",,,,,"{-0.19805727677988444, 'SLC2A1'}",,,
22,"{-2.0791875773230344, 'FGFR1'}","{-1.4326277741734577, 'DLL1'}","{-1.1626409574578687, 'BIRC5'}","{'MCM10', -1.3019153832961665}",,"{-0.5615361562879699, 'HELLS'}","{-0.009864272790700249, 'PMAIP1'}",,"{-0.4700842992588475, 'TIMP1'}",,,,,"{-0.33314144535876655, 'CXCL14'}",,,,"{-0.5783161165930393, 'NOTCH1'}","{-4.618012396235057, 'PTHLH'}",,,"{'E2F1', -0.953356894778436}","{-0.0665693671541314, 'NR0B1'}",,,,,"{-0.33975966933659446, 'PKD1'}",,,
23,"{-0.1905925979054869, 'PDLIM7'}","{-0.6190026456041546, 'JAG2'}","{-0.4321254135643384, 'ISYNA1'}","{-0.8281806990229916, 'MCM6'}",,"{'AURKB', -1.906617961317564}","{'IAPP', -2.1600120424780687}",,"{'EGLN3', -2.2804652400635286}",,,,,"{-0.003166686251738443, 'TP53'}",,,,"{-0.5888626889488663, 'NUMBL'}","{-0.5624230283646925, 'HIF1A'}",,,"{-0.9125208553464925, 'HEY1'}","{'AFP', -5.441601870762319}",,,,,"{-0.25034940159435926, 'CYP27B1'}",,,
24,"{-0.7490585644056873, 'IGFBP1'}","{-0.20124757115321346, 'CENPJ'}","{-0.19545548358590842, 'TP53BP2'}","{-0.09927975071311194, 'NPAT'}",,"{-1.2767000672591577, 'BUB1B'}","{-0.41771849301971403, 'INS'}",,"{'ID2', -1.1018646271616863}",,,,,,,,,"{'GJD2', -2.4648165629340486}","{'APOE', -0.29394213597914637}",,,"{'APOA1', -2.875022123446904}","{-0.41771849301971403, 'INS'}",,,,,,,,
25,"{'THBS1', -2.994504794127798}","{-0.663155018784489, 'RET'}","{-0.19978784179440828, 'PPP1R13B'}","{-0.6804491486256437, 'PLK1'}",,"{-0.10015024695090091, 'CDC25A'}","{'ANGPTL2', -2.169750126644784}",,"{-0.24277115419770864, 'NPM1'}",,,,,,,,,"{-0.27687763422538575, 'MAPK14'}","{-0.2553763234500067, 'DUSP1'}",,,"{'NR3C1', -1.7828390893694315}","{-0.2553763234500067, 'DUSP1'}",,,,,,,,
26,"{-0.15126797717553506, 'APAF1'}","{'BTG2', -1.0275953806799303}","{'MT1G', -1.2760421700960267}","{-0.1873938487007067, 'PLK3'}",,"{-0.8945019764920371, 'CDC6'}","{-0.09166770264796159, 'PNPLA2'}",,"{'PFKFB4', -0.001091632080270995}",,,,,,,,,"{-0.09168067542769738, 'CREBBP'}","{-0.13294538837263511, 'RIPK1'}",,,"{'PPARG', -1.5560857184531618}","{'AHR', -1.3580797293062203}",,,,,,,,
27,"{-0.14997735467157805, 'SMOC2'}","{-0.14930386795093906, 'AXIN2'}","{-0.6330655480095496, 'CCNE2'}","{-0.6619976380104261, 'PLK4'}",,"{-0.7490585644056873, 'IGFBP1'}","{-0.47540141499475647, 'MAOA'}",,"{-0.29807129226036144, 'SP1'}",,,,,,,,,"{'IAPP', -2.1600120424780687}","{-0.2986104051798198, 'TRADD'}",,,"{-0.7999341663352917, 'PCK2'}","{'S100A10', -1.9374018236296715}",,,,,,,,
