,AHR,ASCL1,E2F1,E2F2,FHL2,FOXM1,FOXO1,GLIS3,HIF1A,HLF,HMGB2,HNF1B,IRF2,IRF8,ISL1,LMO2,MXI1,NEUROD1,NFKB1,NKX6-3,NR1D1,NR2F2,NR3C1,PITX1,PPARGC1B,SOX5,SRY,THRB,TSC22D1,YBX3,ZBTB17
12,"{0.05750844664883866, 'SDHB'}","{0.7563815232695235, 'CHRNA5'}","{0.03277498228429303, 'POLE3'}",,,"{0.24480627674579536, 'NBN'}","{'MAFA', 5.819076144749278}",,"{'ATP7A', 0.17668294599276121}",,,,,,,,,"{0.6757561648431462, 'SOX2'}","{1.1396109626851814, 'MAP3K8'}",,,"{4.122065221636188, 'ANGPT1'}","{1.4242171458434005, 'ABCA1'}",,,,,"{0.20614826368930492, 'PIAS3'}",,,"{1.2227215797284403, 'ZBTB17'}"
13,"{0.07185311412274636, 'AIP'}","{2.797265790736899, 'CHGA'}","{0.019378701972197817, 'BMI1'}",,,"{0.3170825785255789, 'ALDOC'}","{1.9449574571380674, 'CDKN1C'}",,"{0.2732649551353071, 'ITGB2'}",,,,,,,,,"{1.0402705931289538, 'KCNAB2'}","{0.3541023771509129, 'RELB'}",,,,"{'ADIPOR2', 0.05133910929514238}",,,,,"{0.1260374330092802, 'ACACA'}",,,"{0.27912780570901796, 'CAMK2N1'}"
14,"{0.6664907919085135, 'CBR1'}","{0.824146626428537, 'GAD1'}","{0.17651101086512358, 'YY1'}",,,"{0.9268803228773315, 'AMBP'}","{0.3769924829818277, 'ADIPOR1'}",,"{'RORA', 0.45351632534975866}",,,,,,,,,"{0.20488038023694433, 'PDYN'}","{0.05933905193849475, 'NFKBID'}",,,,"{3.0551553698839817, 'CCND1'}",,,,,,,,"{0.13265582318780303, 'PCBP1'}"
15,"{'L1CAM', 0.13178174072321416}","{1.7250927419201767, 'MGMT'}","{1.9449574571380674, 'CDKN1C'}",,,"{0.11530514991494487, 'MMP9'}","{0.3981239856969812, 'CTSL'}",,"{'FECH', 0.024121011813643792}",,,,,,,,,"{2.5193654278466218, 'GNAL'}","{4.089283907460848, 'MYLK'}",,,,"{4.089283907460848, 'MYLK'}",,,,,,,,"{0.012592212289297912, 'VPS72'}"
16,"{0.03368376765746719, 'PPIG'}",,"{0.29363028684605463, 'DUSP4'}",,,"{0.1382526123639527, 'PRDX3'}","{'ADIPOR2', 0.05133910929514238}",,"{0.5286145031274992, 'UCP2'}",,,,,,,,,"{0.03315085654600929, 'GAL'}","{0.5380273820034565, 'HSP90AA1'}",,,,"{0.505950537862706, 'BNIP3'}",,,,,,,,"{0.9230489480561459, 'EFNB2'}"
17,"{0.001933944484873947, 'EGLN1'}",,"{1.7902811367845417, 'PCSK6'}",,,"{0.27529639000123085, 'UHMK1'}","{0.24984543067997747, 'HYOU1'}",,"{'FURIN', 0.1810233179673536}",,,,,,,,,"{0.2718267391108082, 'ST18'}","{0.7710450558610441, 'BHMT'}",,,,"{0.7158032573517004, 'NOTCH4'}",,,,,,,,
18,"{0.24026202285088433, 'HSP90AB1'}",,"{0.6432076444632195, 'RHOBTB2'}",,,,"{0.6757561648431462, 'SOX2'}",,"{0.6114520801214537, 'TGFB1'}",,,,,,,,,,"{0.005489006194718822, 'MBTPS1'}",,,,"{3.4472691018393298, 'CLDN5'}",,,,,,,,
19,"{1.3902130446461332, 'FSCN1'}",,"{0.505950537862706, 'BNIP3'}",,,,"{0.1579947298388933, 'IRS2'}",,"{0.30654123050043963, 'HSP90B1'}",,,,,,,,,,"{0.11434976914110835, 'MBTPS2'}",,,,"{0.04934583875476879, 'ANGPTL4'}",,,,,,,,
20,"{1.086725851007965, 'FGF9'}",,"{0.09748855383419804, 'NFYA'}",,,,"{'MEN1', 0.00198812488747865}",,"{0.0010301504137319559, 'LDHA'}",,,,,,,,,,"{0.2175384678552766, 'ATF6'}",,,,"{0.02500579045637537, 'CREB1'}",,,,,,,,
21,"{'SOD1', 0.01213538097625541}",,"{0.1275363470952025, 'BIN1'}",,,,"{3.0551553698839817, 'CCND1'}",,"{0.09511602163673818, 'PGK1'}",,,,,,,,,,"{0.48375680495813284, 'DRD2'}",,,,"{0.3251688529889708, 'SLC30A2'}",,,,,,,,
