,AHR,ASCL1,E2F1,E2F2,FHL2,FOXM1,FOXO1,GLIS3,HIF1A,HLF,HMGB2,HNF1B,IRF2,IRF8,ISL1,LMO2,MXI1,NEUROD1,NFKB1,NKX6-3,NR1D1,NR2F2,NR3C1,PITX1,PPARGC1B,SOX5,SRY,THRB,TSC22D1,YBX3,ZBTB17
72,,,"{'ZEB1', 0.3243916777081361}",,,,"{'MCM3AP', 0.03484273587595166}",,"{1.2229172862053574, 'ARC'}",,,,,,,,,,"{0.2849414877912802, 'NOLC1'}",,,,,,,,,,,,
73,,,"{0.2740312366048746, 'KRT10'}",,,,,,"{1.9776205971886145, 'PC'}",,,,,,,,,,"{0.03368376765746719, 'PPIG'}",,,,,,,,,,,,
74,,,"{0.15824814132615966, 'TRAF2'}",,,,,,"{0.16338366095223253, 'IL11'}",,,,,,,,,,"{0.3357383398602336, 'PSMB10'}",,,,,,,,,,,,
75,,,"{0.316912986368275, 'SUZ12'}",,,,,,"{'PROM1', 1.290121098356764}",,,,,,,,,,"{0.10271820013517428, 'PTEN'}",,,,,,,,,,,,
76,,,"{0.11492580701077894, 'CALR'}",,,,,,"{0.02257155147042174, 'GPR35'}",,,,,,,,,,"{0.856795444321488, 'PTPN13'}",,,,,,,,,,,,
77,,,,,,,,,"{0.04749932795515093, 'PRMT1'}",,,,,,,,,,"{0.49947502252406745, 'RRM2B'}",,,,,,,,,,,,
78,,,,,,,,,"{1.3902130446461332, 'FSCN1'}",,,,,,,,,,"{1.1418280830263927, 'SDC1'}",,,,,,,,,,,,
79,,,,,,,,,"{0.1382526123639527, 'PRDX3'}",,,,,,,,,,"{0.04211775495943375, 'SLC9A2'}",,,,,,,,,,,,
80,,,,,,,,,"{0.24026202285088433, 'HSP90AB1'}",,,,,,,,,,"{'STK39', 0.5847667181063182}",,,,,,,,,,,,
81,,,,,,,,,"{0.6589551926635315, 'E2F3'}",,,,,,,,,,"{0.2849937234252692, 'TAPBP'}",,,,,,,,,,,,
82,,,,,,,,,"{0.17483607070208818, 'ENO1'}",,,,,,,,,,"{0.7173430466092487, 'TNFAIP3'}",,,,,,,,,,,,
83,,,,,,,,,"{0.14648126798024602, 'HBEGF'}",,,,,,,,,,"{'XIAP', 0.043585369832403464}",,,,,,,,,,,,
84,,,,,,,,,"{0.8669829656280577, 'MICA'}",,,,,,,,,,"{0.24536504067921366, 'AKR1B1'}",,,,,,,,,,,,
85,,,,,,,,,"{'MUC3A', 2.0699987598104554}",,,,,,,,,,"{0.7627537860483102, 'BMP4'}",,,,,,,,,,,,
86,,,,,,,,,"{0.060829428930400414, 'PIK3CA'}",,,,,,,,,,"{0.4308875665280171, 'CD4'}",,,,,,,,,,,,
87,,,,,,,,,"{0.3895443352155197, 'PPARA'}",,,,,,,,,,"{'HSPA1A', 0.34661594683920566}",,,,,,,,,,,,
88,,,,,,,,,"{0.49209267699113624, 'SLC29A1'}",,,,,,,,,,"{0.4393479458536487, 'HSPA1B'}",,,,,,,,,,,,
89,,,,,,,,,"{0.04893565973930797, 'TIMP2'}",,,,,,,,,,"{0.1753643747531332, 'MYOZ1'}",,,,,,,,,,,,
90,,,,,,,,,"{'WASF3', 0.4102377593978933}",,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,"{0.43338866253706637, 'ZNF217'}",,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,"{0.1180037267491111, 'APH1A'}",,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,"{1.431736329623838, 'MDK'}",,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,"{0.19901778143228235, 'KDM2A'}",,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,"{0.05876188598592845, 'TM9SF4'}",,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,"{0.04376801703010611, 'KDM5B'}",,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,"{0.1039660984567888, 'KDM1A'}",,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,"{1.4235861416833793, 'PDK1'}",,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,"{'HSPA1A', 0.34661594683920566}",,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,"{0.05402452574123726, 'SLC11A1'}",,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,"{'SPP1', 4.0220135806717465}",,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,"{0.03385532947463222, 'MSH6'}",,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,"{'EPOR', 0.45007675242380607}",,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,"{0.11530514991494487, 'MMP9'}",,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,"{0.09858157635969346, 'CDKN1B'}",,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,"{0.22027006625543968, 'COX4I1'}",,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,"{0.3849345873660214, 'CTSD'}",,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,"{4.122065221636188, 'ANGPT1'}",,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,"{0.040765139683437396, 'MLH1'}",,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,"{0.5882218248626896, 'MXI1'}",,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,"{0.6936458118009623, 'SLC9A1'}",,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,"{0.3682244464238877, 'BCL2L1'}",,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,"{1.9449574571380674, 'CDKN1C'}",,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,"{0.04934583875476879, 'ANGPTL4'}",,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,"{0.025220351346242703, 'CD151'}",,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,"{0.16368676857896683, 'SENP1'}",,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,"{0.10961669176703989, 'BNIP3L'}",,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,"{0.08545568398976698, 'GYS1'}",,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,"{'SEMA4D', 0.4334282308973078}",,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,"{0.27822018357853195, 'PRDX2'}",,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,"{0.31382312580110017, 'ATRIP'}",,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,"{'ERRFI1', 1.1852225231091953}",,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,"{0.27229876837375394, 'PGAM1'}",,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,"{0.04232945692068811, 'PKM'}",,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,"{0.1239110931939498, 'PPP1R10'}",,,,,,,,,,,,,,,,,,,,,,
