gene_name,TF_Activity,TF_pvalue,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AHR,-3.336369514,0.000850852,1742.569,-1.358079729,0.273869378,-5.327359157,9.97E-08,8.33E-07
AR,-0.584749043,0.558725218,70.28305,-0.809060057,0.270376748,-3.396597365,0.000682293,0.002797604
ASCL1,-2.144953728,0.031972469,465.49484,-2.539041572,0.59360142,-4.821616137,1.42E-06,9.80E-06
ASCL2,-3.179805279,0.00147672,3305.8442,0.755838561,0.173910586,4.60108545,4.20E-06,2.68E-05
ATF3,2.120494127,0.033980671,211.25232,-0.872128078,0.412047375,-2.727287218,0.006385743,0.020391391
BHLHE40,-1.893096328,0.058364183,174.85104,-1.305546964,0.312953338,-4.601127792,4.20E-06,2.68E-05
BRCA1,-1.311922193,0.189566354,115.364975,-1.005131539,0.183224544,-5.757866136,8.52E-09,8.16E-08
CDX2,-1.389029622,0.164844249,482.84772,0.574039949,0.258063334,2.568994374,0.010199411,0.030485064
CEBPA,-0.856168568,0.391918146,558.71045,-1.194776394,0.2025948,-6.179802638,6.42E-10,7.08E-09
CREM,-0.018450752,0.985279509,575.0676,1.479387985,0.218751802,7.038980081,1.94E-12,2.82E-11
CTBP2,0.742173135,0.457993999,2279.7976,0.719810122,0.112997912,6.560651776,5.36E-11,6.61E-10
E2F1,-4.672940731,2.99E-06,278.1409,-0.953356895,0.253996642,-4.131083858,3.61E-05,0.000194678
E2F2,-3.41460228,0.000640433,89.5619,-1.268172472,0.445620182,-3.46241503,0.000535351,0.002255801
E2F3,-4.453388691,8.51E-06,376.88947,0.658955193,0.120349813,5.644524913,1.66E-08,1.52E-07
E2F7,0.136811271,0.8911818,81.98699,-1.680576729,0.380893773,-4.872276227,1.10E-06,7.77E-06
EBF1,0.127548099,0.898508307,1219.398,1.704406151,0.236361764,7.478695689,7.51E-14,1.28E-12
EGR1,-0.945538223,0.344399312,135.69258,-0.589940627,0.280532379,-2.492574746,0.012682063,0.036811416
ELF3,-1.244186282,0.213450344,525.8482,-1.171509835,0.196866458,-6.223137946,4.87E-10,5.47E-09
ELF4,-1.493092179,0.135433975,637.38684,-1.529487216,0.177012774,-8.870019575,7.31E-19,1.92E-17
ERF,-0.568854332,0.569463469,630.9089,-0.599049963,0.234970798,-2.876504527,0.004021064,0.013569967
ESRRB,-0.963742375,0.335190553,28.122583,-0.914354626,0.354274888,-3.100559488,0.001931554,0.007102564
ESRRG,-1.494641781,0.135028874,317.93988,-0.649487558,0.206690038,-3.430517856,0.00060243,0.002502799
ETS1,-0.855312705,0.392391641,243.36249,-0.514705937,0.168515348,-3.265701143,0.001091934,0.004269525
ETS2,0.460011631,0.645514502,2529.3342,0.931047987,0.143704007,6.726863326,1.73E-11,2.27E-10
ETV1,-1.013977528,0.310609739,2029.7845,-2.832016723,0.274704997,-10.57720757,3.80E-26,1.73E-24
EZH2,-0.870931685,0.383805316,212.88342,-0.814439978,0.177613367,-4.849049613,1.24E-06,8.64E-06
FEV,0.370687276,0.710875674,8069.48,-1.043551666,0.272521937,-4.111527241,3.93E-05,0.000210254
FHL2,-2.734545708,0.006253935,49.334442,-2.203096133,0.350676468,-6.635995094,3.22E-11,4.08E-10
FOXM1,-3.475692272,0.000510969,208.46463,-0.86432159,0.420908051,-2.675062579,0.00747153,0.023359178
FOXO1,-3.098428726,0.001949073,1046.8552,-0.982260691,0.117467468,-8.527050234,1.50E-17,3.53E-16
FOXP2,1.469397068,0.141745977,329.23108,-2.414168681,0.17845819,-13.69757183,1.05E-42,1.14E-40
GLI2,-2.208257198,0.027241334,161.07014,4.134784654,0.390955415,10.79627505,3.58E-27,1.76E-25
GLIS3,2.516537428,0.011861719,3532.3535,1.134861457,0.178942528,6.623704491,3.50E-11,4.40E-10
HDAC7,1.552437186,0.120578631,182.06546,0.929561998,0.226913405,4.42593659,9.60E-06,5.76E-05
HES6,0.482693642,0.629320283,290.785,-0.572901622,0.237855974,-2.73379448,0.006260911,0.020022439
HEY1,0.28603819,0.774852799,77.84501,-0.912520855,0.297935429,-3.502170255,0.000461485,0.001975761
HHEX,1.189184427,0.23438582,187.66385,-1.117707881,0.496560105,-2.962706631,0.003049471,0.010631214
HIF1A,-2.808627844,0.004981708,6259.2397,-0.562423028,0.185940749,-3.269668221,0.001076737,0.004217756
HLF,-2.489702463,0.012795694,216.24007,-1.620629317,0.292399889,-5.904384364,3.54E-09,3.57E-08
HMGA2,-0.216679111,0.828461358,97.59767,-1.965386213,0.375193505,-5.653539436,1.57E-08,1.45E-07
HMGB2,-2.329584122,0.019841272,251.15302,-1.122494316,0.231351471,-5.186097609,2.15E-07,1.70E-06
HNF1B,-2.557650805,0.010547874,369.27682,-0.657463005,0.129440489,-5.265337328,1.40E-07,1.14E-06
HR,-1.845577717,0.064973129,79.84061,-0.939572304,0.221597341,-4.566866247,4.95E-06,3.12E-05
HSF4,1.124124765,0.260977989,294.69437,1.066761204,0.36148455,3.464448677,0.00053132,0.002241516
ID2,0.824528694,0.409652256,394.2112,-1.101864627,0.165344657,-6.899279742,5.23E-12,7.32E-11
ID4,-0.084689841,0.932509097,497.98038,-0.845414516,0.132696566,-6.558601988,5.43E-11,6.69E-10
INSM1,-1.128659248,0.259059557,23125.32,-0.724853175,0.165226998,-4.631703583,3.63E-06,2.34E-05
IRF2,-3.682385921,0.000231868,290.53442,-0.580779683,0.172806955,-3.599576213,0.000318736,0.001415823
IRF6,-1.762120605,0.078069175,1404.6606,-0.69451659,0.168610331,-4.34191944,1.41E-05,8.19E-05
IRF8,-2.714832544,0.006638472,214.87122,-3.839173237,0.344717416,-11.36467465,6.27E-30,3.62E-28
ISL1,-2.512367964,0.012002747,2546.958,-2.89773938,0.265233974,-11.10946594,1.13E-28,6.06E-27
JUNB,-0.511251152,0.609182688,437.0474,-0.592441777,0.168601206,-3.746630106,0.000179226,0.000840679
JUND,0.499674141,0.617311831,3735.2126,-0.551230062,0.256019459,-2.525509393,0.011553069,0.03393925
KCNIP3,-1.87618041,0.060649805,367.2666,-2.711180909,0.560452962,-5.328973516,9.88E-08,8.26E-07
KLF5,-1.419396162,0.155804215,329.39844,-1.164718035,0.204342263,-5.983198177,2.19E-09,2.27E-08
LMO2,-3.214618444,0.001308929,877.06287,-2.587909179,0.326969716,-8.20776596,2.25E-16,4.84E-15
LMX1B,-0.616527677,0.537555616,7692.508,0.642999222,0.156546012,4.403150071,1.07E-05,6.33E-05
MAFA,0.839476943,0.401215027,13793.121,5.819076145,0.50577549,11.15406401,6.84E-29,3.73E-27
MAFB,0.143683389,0.885752408,8738.081,-3.904402999,0.426883944,-9.461203219,3.04E-21,9.63E-20
MECOM,-1.654572248,0.098032102,209.28798,-3.84484296,0.298262005,-13.08903036,3.80E-39,3.44E-37
MEF2C,-1.814180613,0.069669782,93.823944,-1.676456649,0.330905605,-5.46795178,4.55E-08,4.00E-07
MEIS1,0.584165096,0.559117978,809.7911,-0.512059734,0.114125701,-4.627057718,3.71E-06,2.39E-05
MEIS2,-1.564197183,0.117792246,862.2039,2.160382408,0.241385313,9.186448961,4.06E-20,1.17E-18
MITF,0.812618852,0.416449445,288.20575,2.565528542,0.162634065,15.89018889,7.41E-57,1.36E-54
MLXIP,0.805627525,0.420470349,2745.7278,1.047100098,0.108075245,9.831187865,8.26E-23,3.00E-21
MLXIPL,-0.30647561,0.759246778,5216.929,-0.607890822,0.268655428,-2.649127265,0.008069994,0.024981706
MSC,-0.873363554,0.382478853,222.48091,-2.287576688,0.509799484,-4.989377206,6.06E-07,4.47E-06
