gene_name,TF_Activity,TF_pvalue,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SATB1,-0.741737068,0.458257988,873.1182,0.56164515,0.136687226,4.450657192,8.56E-06,0.000102897
SATB2,-0.919053018,0.358082261,176.3124,1.638849454,0.155139682,10.76540682,5.01E-27,7.66E-25
SOX2,0.745473921,0.455996668,163.5772,0.622034959,0.178752567,3.913324658,9.10E-05,0.000863335
SOX5,-1.36115551,0.173484502,797.6049,-0.733216661,0.170578402,-4.71556546,2.41E-06,3.22E-05
SRY,-1.633615255,0.10236014,32.482903,-0.662945923,0.398338275,-2.602677001,0.009249905,0.042766555
STAT3,-2.351441383,0.018713387,3754.9685,0.604385646,0.065249435,9.413437775,4.80E-21,4.22E-19
STAT4,0.750538945,0.452941664,48.372524,-0.885457338,0.353489682,-3.270939077,0.00107191,0.007281694
STAT6,-1.469806075,0.141634748,723.46674,-0.788021969,0.272031065,-3.537800115,0.000403475,0.003148542
TBX3,0.833675086,0.404477054,592.11005,0.930715809,0.224046004,4.607783763,4.07E-06,5.24E-05
TEAD1,1.46704793,0.142383474,2914.48,0.704969026,0.168295719,4.564293629,5.01E-06,6.30E-05
WWTR1,0.820762753,0.411794145,60.538006,2.06004261,0.339240852,6.425619271,1.31E-10,3.42E-09
YBX3,2.834485769,0.004595934,381.23544,0.580991546,0.10229938,5.933257705,2.97E-09,6.66E-08
ZBTB16,-1.275105,0.20229135,107.88407,-1.145760857,0.261688063,-4.888929427,1.01E-06,1.47E-05
ZBTB17,1.581442833,0.113797393,816.2725,0.843229515,0.121740373,7.189269794,6.51E-13,2.31E-11
ZFP42,-0.927377105,0.353745333,311.04633,-1.242292873,0.293576849,-4.778642878,1.76E-06,2.41E-05
ZNF395,0.10114608,0.919435818,698.49304,-0.867812443,0.3651265,-3.195660898,0.00139511,0.009064675
