gene_name,TF_Activity,TF_pvalue,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ASCL1,1.006634593,0.31412586,622.7232,-0.189876349,0.093360414,-2.983123985,0.002853224,0.174301013
ESRRG,-1.870561242,0.061424441,412.02344,-0.600848915,0.185884795,-3.967786686,7.25E-05,0.018148471
MED1,3.155319691,0.001606239,1017.3499,-0.16650083,0.070038964,-3.165795703,0.001546594,0.127622325
NCOA1,0.247445017,0.804567062,1068.1349,-0.119204825,0.04496772,-3.253445911,0.001140144,0.109572037
POU3F1,-0.289904952,0.771892767,26.463654,-0.144269504,0.215050968,-3.744957608,0.000180424,0.030909418
PPARG,-0.401049048,0.688389451,61.827667,-0.413141098,0.229039761,-2.995652174,0.002738586,0.169932507
