gene_name,TF_Activity,TF_pvalue,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HDAC1,0.474527359,0.635130783,3148.8333,-0.846073076,0.094113084,-9.047340183,1.46E-19,6.77E-19
HDAC4,0.724138141,0.468992196,1525.3329,0.686837243,0.166188242,4.238855808,2.25E-05,4.84E-05
HDAC5,0.076877005,0.938722413,1775.3483,-0.684187822,0.082837953,-8.303192973,1.01E-16,4.20E-16
HDAC7,0.797257364,0.425314164,570.31024,2.778120816,0.10482542,26.55975414,1.98E-155,8.21E-154
HDAC9,0.119067065,0.905223814,1267.6727,-4.03847833,0.169721916,-23.82219798,1.97E-125,6.01E-124
HDGF,-0.169277743,0.865580459,2895.8665,-0.864530335,0.060961904,-14.22397218,6.51E-46,6.02E-45
HES6,-2.377647638,0.017435893,247.76495,-1.131582698,0.311817446,-3.857767641,0.000114427,0.000231534
HHEX,-0.219426647,0.826320693,210.86902,-1.934787033,0.392065849,-5.23549925,1.65E-07,4.25E-07
HIPK2,0.445673019,0.655839873,11563.958,-1.460007977,0.282938008,-5.465473196,4.62E-08,1.24E-07
HIVEP2,-1.223046184,0.221331419,698.7776,0.906198689,0.366365767,2.705556284,0.006819009,0.011201594
HLF,-1.95533967,0.050561486,447.276,1.092434756,0.155564486,7.132930063,9.83E-13,3.43E-12
HMGA2,0.422480434,0.672680419,825.0922,2.76580166,0.160205433,17.3733448,1.31E-67,1.78E-66
HNF1A,-5.818120956,6.07E-09,523.4702,-1.681073421,0.131300935,-12.9018738,4.39E-38,3.44E-37
HNF4A,-4.532816887,5.87E-06,1198.4418,-2.839395134,0.087589304,-32.48754015,1.60E-231,1.33E-229
HNF4G,-2.896904945,0.003774075,557.2812,-1.667057096,0.150174972,-11.21940644,3.27E-29,2.06E-28
HOXA1,-0.477981329,0.632670442,64.85695,-0.773792466,0.339757673,-2.473340254,0.013385663,0.021094346
HTATIP2,0.579677165,0.562141029,1675.3444,1.699823634,0.069451245,24.53061651,6.96E-133,2.31E-131
ID1,-1.817239881,0.069200285,85.72592,1.748240407,0.444279225,4.277477232,1.89E-05,4.10E-05
ID2,0.545087516,0.585701412,396.79898,-2.317853148,0.231450419,-10.18796503,2.24E-24,1.22E-23
INSM1,-1.936106682,0.052873352,29536.627,-0.666629706,0.097833724,-6.934833357,4.07E-12,1.37E-11
IRF5,0.696539998,0.486101483,32.1596,0.708923167,0.216961767,3.383507819,0.000715662,0.001326829
IRF6,-1.605129361,0.108486337,1356.9186,-0.839077577,0.063704835,-13.21192514,7.49E-40,6.12E-39
IRF7,-0.124433145,0.900973995,356.06894,-1.16076096,0.225701056,-5.30556521,1.12E-07,2.94E-07
IRF9,-1.372545838,0.169914049,104.03481,-0.674152263,0.230350516,-3.047591939,0.002306829,0.004032191
ISL1,-3.009592772,0.002620317,2285.6191,-5.183595201,0.474290349,-11.05714953,2.02E-28,1.25E-27
JDP2,-0.959445417,0.33734983,525.4831,5.599024963,0.177255655,31.54526256,2.08E-218,1.52E-216
JUN,-1.359450102,0.174024388,3390.0762,-1.043438564,0.187733768,-5.674565991,1.39E-08,3.88E-08
JUNB,-0.31885007,0.749844636,617.9104,-2.118424265,0.454977284,-5.007531712,5.51E-07,1.37E-06
JUND,-0.068430923,0.945443516,4019.6218,-1.482975649,0.202027231,-7.503100328,6.23E-14,2.30E-13
KDM2A,-1.605741501,0.108351716,4245.56,1.026556332,0.087633839,11.76533338,5.89E-32,3.98E-31
KLF10,1.680079579,0.092962604,652.63293,-2.00195356,0.411100809,-5.201462908,1.98E-07,5.07E-07
KLF11,0.102022521,0.918740159,333.13547,-0.958922822,0.213070847,-4.641770953,3.45E-06,8.02E-06
KLF12,0.366258979,0.714176989,1023.0468,0.589453027,0.13898095,4.312418198,1.61E-05,3.53E-05
KLF13,0.275598913,0.782859931,3497.5173,-0.735351624,0.073885757,-9.9997564,1.53E-23,8.13E-23
KLF15,-1.700853109,0.088991248,147.44756,3.826195232,0.281402902,13.7151778,8.24E-43,7.16E-42
KLF3,1.264795423,0.205964273,1283.3433,0.625940568,0.125934585,5.041934549,4.61E-07,1.15E-06
KLF5,-1.130033255,0.258480236,416.7981,-0.517354354,0.16685642,-3.171491136,0.001516585,0.002703384
KLF6,1.270329833,0.203986819,1071.2913,-1.061330408,0.151170966,-7.134051075,9.75E-13,3.40E-12
KLF9,-0.359311789,0.719366901,416.8243,-3.591622539,0.225738566,-16.03676623,7.07E-58,8.16E-57
KMT2A,-1.988824964,0.046738618,1388.6124,-1.077230034,0.228957388,-4.871073417,1.11E-06,2.69E-06
KMT2B,-0.905835688,0.365037341,2054.054,-0.594659091,0.095255665,-6.288805043,3.20E-10,9.76E-10
LITAF,-1.230422854,0.218558046,164.44173,2.80422953,0.352136019,8.19772402,2.45E-16,9.97E-16
LMO2,-0.707170129,0.479471717,872.78986,-4.203162193,0.178227094,-23.69302963,4.25E-124,1.27E-122
LMO4,1.741005898,0.081702996,715.1364,1.182873368,0.106879179,11.14451929,7.62E-29,4.75E-28
MAF,-0.46928224,0.638874712,1032.1656,1.270797611,0.184258265,7.045115377,1.85E-12,6.35E-12
MAFA,0.446997702,0.654883156,9017.813,4.402596265,0.135329568,32.7314872,5.57E-235,4.81E-233
MAFB,0.625587285,0.531595175,7377.873,-5.829464402,0.3346572,-17.58486627,3.22E-69,4.49E-68
MBD1,-0.221153662,0.824975791,3165.3945,0.814212535,0.098620237,8.355804435,6.50E-17,2.71E-16
MECOM,0.921273828,0.356922261,2880.843,4.317304268,0.063811087,67.67385541,0,0
MEF2C,0.751358807,0.452448504,84.90621,-2.522902188,0.198668165,-12.78629506,1.96E-37,1.51E-36
MEIS1,-0.328817844,0.742297953,1786.2119,1.67301078,0.181599794,9.349708955,8.79E-21,4.25E-20
MEIS2,-1.71859467,0.085708785,1797.5923,3.543189808,0.241730619,14.80324663,1.40E-49,1.39E-48
MITF,-0.320362955,0.748697655,313.45425,2.8338021,0.174676668,16.33427855,5.63E-60,6.66E-59
