Gene stable ID,TF_Activity,TF_pvalue,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene name
ENSG00000106546,-3.5655357837677,0.00036426437100949466,1206.7156,-3.572716244710746,0.20573586384400594,-17.365549097553885,1.504536426446927e-67,3.4338419742209634e-66,AHR
ENSG00000116017,-2.4344801902770996,0.014924996961920163,2613.8245,-1.6235579498819666,0.1268073778552863,-12.803339816195752,1.5704870949891753e-37,1.7607875495305142e-36,ARID3A
ENSG00000183734,-3.7577998638153076,0.00017207552517479416,1794.7305,-4.585097219835953,0.20408718696311542,-22.466364929928773,8.854906148714485e-112,4.4641463498365047e-110,ASCL2
ENSG00000245848,-2.3072597980499268,0.02105414528456064,472.54196,-4.887540160746432,0.15526872468953407,-31.47794361368821,1.7409187068753493e-217,2.945754515392186e-215,CEBPA
ENSG00000172216,-3.0644800662994385,0.002184430498127912,763.0664,-0.7749702227710125,0.27947184911040207,-2.7729813404743653,0.00555453056044517,0.009893314504575118,CEBPB
ENSG00000118260,1.9604783058166504,0.04995873964163217,1141.8009,0.5657618323059052,0.12053795314685932,4.693640613065665,2.6838536227604225e-06,7.184762535125692e-06,CREB1
ENSG00000175029,2.3250763416290283,0.02008140100786946,3027.6448,1.193334871579272,0.14599267419563147,8.173936659179164,2.9848656488572455e-16,1.512571676999226e-15,CTBP2
ENSG00000101412,-3.349050521850586,0.0008129248571889821,306.06967,-4.357726053306529,0.3472730247164851,-12.548415060064606,4.0554613884082185e-36,4.351344540725757e-35,E2F1
ENSG00000157557,2.2791149616241455,0.022674480063491365,5691.8413,2.832697312616331,0.05633508057537048,50.28300809522188,0.0,0.0,ETS2
ENSG00000163497,-2.732517719268799,0.0062927265163932,7429.922,-6.6438169044264574,0.2080770144311222,-31.929605115637116,1.0369988764112384e-223,1.90820755745623e-221,FEV
ENSG00000138685,5.0203046798706055,5.219235142738208e-07,34.746323,1.0169981656442841,0.45927426119560816,2.2143591565457603,0.026804082189976364,0.04242826816329485,FGF2
ENSG00000141448,-2.997680187225342,0.002724968802361362,400.01852,-2.2355807937952306,0.2382974244624411,-9.381472749184448,6.50575565401568e-21,4.098041462677143e-20,GATA6
ENSG00000107249,2.476544141769409,0.013277271664151576,2535.4895,0.7985554706442765,0.30407246004155675,2.6262012368207897,0.008634375368447808,0.014889888827746653,GLIS3
ENSG00000144485,-2.1776578426361084,0.029447340425319123,249.41621,-1.3545036439758624,0.22181279245131097,-6.106517252710674,1.0182863371650232e-09,3.555548664470186e-09,HES6
ENSG00000135100,-4.901373386383057,9.61823264493661e-07,568.7608,-1.9700790469018787,0.14166527935087672,-13.906576515635738,5.777956449733341e-44,7.48085284929855e-43,HNF1A
ENSG00000101076,-5.728928089141846,1.0304331853095993e-08,1236.8257,-3.003248717558929,0.1394849025847007,-21.53099483820651,7.980210185918907e-103,3.356476404197492e-101,HNF4A
ENSG00000164749,-2.9395968914031982,0.0032915007459641734,474.84805,-1.5021719347921008,0.2210332074367891,-6.796136889167167,1.0746167712126858e-11,4.2743673301869625e-11,HNF4G
ENSG00000285048,-2.550367593765259,0.010770973080627948,130.30717,-1.3362784164400403,0.41267489254706813,-3.238089936105404,0.001203328693452467,0.002358120566601939,IRF9
ENSG00000213928,-2.550367593765259,0.010770973080627948,130.30717,-1.3362784164400403,0.41267489254706813,-3.238089936105404,0.001203328693452467,0.002358120566601939,IRF9
ENSG00000016082,-3.5962395668029785,0.0003239070337719716,2468.1655,-5.42755510994761,0.48648534426800827,-11.156667254003711,6.643562101276155e-29,5.582184799822276e-28,ISL1
ENSG00000109787,2.10770583152771,0.035073302227378256,1161.4579,0.7636131209829936,0.1797915458143453,4.247213724784973,2.1644546380290836e-05,5.269213945167214e-05,KLF3
ENSG00000118263,1.96140456199646,0.04985066550700744,1312.507,0.6204111234752542,0.227637656986415,2.725432741175504,0.006421725872659256,0.01132146426004993,KLF7
ENSG00000136997,-2.706493616104126,0.006807626274873548,140.90167,-2.8911316432188046,0.26478185037858,-10.91891925026251,9.360295037012553e-28,7.554435484641546e-27,MYC
ENSG00000141905,-2.3638153076171875,0.018100737827747248,347.0287,-1.7570373356266096,0.24936648698979966,-7.04600428404191,1.8412858771039034e-12,7.682984522915692e-12,NFIC
ENSG00000186416,-3.3790841102600098,0.0007291640272878346,275.13504,-0.6900837913250744,0.19641837268950457,-3.5133362621629556,0.0004425170605031438,0.0009189298416796135,NKRF
ENSG00000125820,-2.912853479385376,0.0035868082370272125,1841.8387,-1.5775171860115276,0.20075158036947496,-7.858056126423377,3.90140494219969e-15,1.8799535893329507e-14,NKX2-2
ENSG00000143257,-2.874635934829712,0.004050730309135402,23.43934,-1.2718774310914605,0.43197145922518865,-2.9443552436838774,0.003236282977614133,0.005969342402387877,NR1I3
ENSG00000160113,-2.1946470737457275,0.028204485639380657,2422.2668,-0.9538039237994533,0.050588912951956326,-18.854011049916597,2.723847349373238e-79,7.785972200023968e-78,NR2F6
ENSG00000082175,2.5531039237976074,0.010686756887249325,807.0085,4.217595038423442,0.2861931731894885,14.736882055642093,3.736411954266821e-49,5.56154907773123e-48,PGR
ENSG00000118495,-2.0366525650024414,0.041702725179885124,1755.6948,-1.8651059266571866,0.2926181864004822,-6.373855123633946,1.8433473272262322e-10,6.763687937212702e-10,PLAGL1
ENSG00000140464,-2.253788948059082,0.024224093552982124,757.72076,-0.7487450061229389,0.12584420621984393,-5.949777336708823,2.685075126358602e-09,9.111800584399488e-09,PML
